Year,Animal_Type,breed,cnt,total,share,rank_in_year_type,prev_cnt,yoy_cnt_diff,yoy_cnt_pct_change,prev_share,yoy_share_point_diff,yoy_share_pct_change
2025,DOG,AMERICAN PIT BULL TERRIER,46,37502,0.0012,97,79,-33,-0.4177,0.0017,-0.0005,-0.2941
2025,DOG,AMERICAN PIT BULL TERRIER MIX,1,37502,0,255,null,null,null,null,null,null
2023,DOG,AMERICAN STAFFORDSHIRE TERRIER,64,44954,0.0014,86,null,null,null,null,null,null
2024,DOG,AMERICAN STAFFORDSHIRE TERRIER,58,46201,0.0013,94,64,-6,-0.0938,0.0014,-0.0001,-0.0714
2025,DOG,AMERICAN STAFFORDSHIRE TERRIER,52,37502,0.0014,88,58,-6,-0.1034,0.0013,0.0001,0.0769
2023,DOG,AMERICAN WATER SPANIEL,2,44954,0,222,null,null,null,null,null,null
2024,DOG,AMERICAN WATER SPANIEL,1,46201,0,250,2,-1,-0.5,0,0,null
2025,DOG,AMERICAN WATER SPANIEL,1,37502,0,256,1,0,0,0,0,null
2023,DOG,ANATOLIAN SHEPHERD DOG,36,44954,0.0008,108,null,null,null,null,null,null
2024,DOG,ANATOLIAN SHEPHERD DOG,25,46201,0.0005,124,36,-11,-0.3056,0.0008,-0.0003,-0.375
2025,DOG,ANATOLIAN SHEPHERD DOG,26,37502,0.0007,116,25,1,0.04,0.0005,0.0002,0.4
2024,DOG,ARABIAN CUNUCU,1,46201,0,251,null,null,null,null,null,null
2024,DOG,ARGENTINIAN DOG,1,46201,0,252,null,null,null,null,null,null
2024,DOG,ASTIPZE,1,46201,0,253,null,null,null,null,null,null
2023,DOG,AUSSIEDOODLE,1,44954,0,242,null,null,null,null,null,null
2024,DOG,AUSSIEDOODLE,3,46201,0.0001,214,1,2,2,0,0.0001,null
2025,DOG,AUSSIEDOODLE,7,37502,0.0002,177,3,4,1.3333,0.0001,0.0001,1
2023,DOG,AUSTRALIAN CATTLE DOG,228,44954,0.0051,41,null,null,null,null,null,null
2024,DOG,AUSTRALIAN CATTLE DOG,227,46201,0.0049,41,228,-1,-0.0044,0.0051,-0.0002,-0.0392
2025,DOG,AUSTRALIAN CATTLE DOG,190,37502,0.0051,42,227,-37,-0.163,0.0049,0.0002,0.0408
2023,DOG,AUSTRALIAN COBBERDOG,1,44954,0,243,null,null,null,null,null,null
2024,DOG,AUSTRALIAN COBBERDOG,2,46201,0,228,1,1,1,0,0,null
2025,DOG,AUSTRALIAN COBBERDOG,2,37502,0.0001,220,2,0,0,0,0.0001,null
2023,DOG,AUSTRALIAN KELPIE,19,44954,0.0004,137,null,null,null,null,null,null
2024,DOG,AUSTRALIAN KELPIE,23,46201,0.0005,129,19,4,0.2105,0.0004,0.0001,0.25
2025,DOG,AUSTRALIAN KELPIE,31,37502,0.0008,110,23,8,0.3478,0.0005,0.0003,0.6
2023,DOG,AUSTRALIAN SHEPHERD,1116,44954,0.0248,12,null,null,null,null,null,null
2024,DOG,AUSTRALIAN SHEPHERD,1208,46201,0.0261,10,1116,92,0.0824,0.0248,0.0013,0.0524
2025,DOG,AUSTRALIAN SHEPHERD,1013,37502,0.027,9,1208,-195,-0.1614,0.0261,0.0009,0.0345
2023,DOG,AUSTRALIAN TERRIER,12,44954,0.0003,161,null,null,null,null,null,null
2024,DOG,AUSTRALIAN TERRIER,9,46201,0.0002,175,12,-3,-0.25,0.0003,-0.0001,-0.3333
2025,DOG,AUSTRALIAN TERRIER,8,37502,0.0002,169,9,-1,-0.1111,0.0002,0,0
2023,DOG,BARBET,14,44954,0.0003,151,null,null,null,null,null,null
2024,DOG,BARBET,17,46201,0.0004,145,14,3,0.2143,0.0003,0.0001,0.3333
2025,DOG,BARBET,13,37502,0.0003,147,17,-4,-0.2353,0.0004,-0.0001,-0.25
2023,DOG,BASENJI,49,44954,0.0011,102,null,null,null,null,null,null
2024,DOG,BASENJI,43,46201,0.0009,106,49,-6,-0.1224,0.0011,-0.0002,-0.1818
2025,DOG,BASENJI,34,37502,0.0009,106,43,-9,-0.2093,0.0009,0,0
2023,DOG,BASSET HOUND,80,44954,0.0018,77,null,null,null,null,null,null
2024,DOG,BASSET HOUND,78,46201,0.0017,78,80,-2,-0.025,0.0018,-0.0001,-0.0556
2025,DOG,BASSET HOUND,60,37502,0.0016,79,78,-18,-0.2308,0.0017,-0.0001,-0.0588
2023,DOG,BEAGLE,872,44954,0.0194,14,null,null,null,null,null,null
2024,DOG,BEAGLE,802,46201,0.0174,15,872,-70,-0.0803,0.0194,-0.002,-0.1031
2025,DOG,BEAGLE,619,37502,0.0165,16,802,-183,-0.2282,0.0174,-0.0009,-0.0517
2024,DOG,BEAGLE - PARSON,1,46201,0,254,null,null,null,null,null,null
2023,DOG,BEARDED COLLIE,28,44954,0.0006,120,null,null,null,null,null,null
2024,DOG,BEARDED COLLIE,23,46201,0.0005,130,28,-5,-0.1786,0.0006,-0.0001,-0.1667
2025,DOG,BEARDED COLLIE,16,37502,0.0004,138,23,-7,-0.3043,0.0005,-0.0001,-0.2
2023,DOG,BEAUCERON,2,44954,0,223,null,null,null,null,null,null
2024,DOG,BEAUCERON,3,46201,0.0001,215,2,1,0.5,0,0.0001,null
2025,DOG,BEAUCERON,1,37502,0,257,3,-2,-0.6667,0.0001,-0.0001,-1
2023,DOG,BEDLINGTON TERRIER,11,44954,0.0002,166,null,null,null,null,null,null
2024,DOG,BEDLINGTON TERRIER,14,46201,0.0003,154,11,3,0.2727,0.0002,0.0001,0.5
2025,DOG,BEDLINGTON TERRIER,19,37502,0.0005,127,14,5,0.3571,0.0003,0.0002,0.6667
2024,DOG,BELDI,1,46201,0,255,null,null,null,null,null,null
2023,DOG,BELGIAN GROENENDAEL,1,44954,0,244,null,null,null,null,null,null
2024,DOG,BELGIAN GROENENDAEL,1,46201,0,256,1,0,0,0,0,null
2025,DOG,BELGIAN GROENENDAEL,1,37502,0,258,1,0,0,0,0,null
2023,DOG,BELGIAN MALINOIS,100,44954,0.0022,66,null,null,null,null,null,null
2024,DOG,BELGIAN MALINOIS,115,46201,0.0025,64,100,15,0.15,0.0022,0.0003,0.1364
2025,DOG,BELGIAN MALINOIS,88,37502,0.0023,65,115,-27,-0.2348,0.0025,-0.0002,-0.08
2023,DOG,BELGIAN SHEEPDOG,6,44954,0.0001,193,null,null,null,null,null,null
2024,DOG,BELGIAN SHEEPDOG,12,46201,0.0003,161,6,6,1,0.0001,0.0002,2
2025,DOG,BELGIAN SHEEPDOG,12,37502,0.0003,154,12,0,0,0.0003,0,0
2025,DOG,BELGIAN SHEPHERD DOG,2,37502,0.0001,221,null,null,null,null,null,null
2023,DOG,BELGIAN TERVUREN,6,44954,0.0001,194,null,null,null,null,null,null
